,Unnamed: 0,index,choice1,choice2,Full_sentence,right_answer
0,0,0,My friends decided to keep inviting me out as I am so much fun.,"The next weekend, I was asked to please stay home.",My friends all love to go to the club to dance.They think it's a lot of fun and always invite.I finally decided to tag along last Saturday.I danced terribly and broke a friend's toe.,2
1,1,1,My allergies were too bad and I had to go back home.,It reminded me of how much I loved spring flowers.,I tried going to the park the other day.The weather seemed nice enough for a walk.Within minutes of getting there I started sneezing.My eyes were watery and it was hard to breathe.,1
2,2,2,Avery thought her children would be happy with her decision.,Avery regretted what she did the next day.,"Avery was married with children.She was tired of her boring life.One day, she decided to meet up with an old boyfriend from college.She made poor decisions that night and was unfaithful to her husband.",2
3,3,3,Josh thought that the pie was delicious.,Josh got sick.,Josh loved when his mom baked apple pie.He hated how he always had to wait until after dinner though.So he decided this time he would sneak a piece before dinner.The eggs his mom used must have been bad though.,2
4,4,4,He felt inspiration and then went back home to write.,John then got an idea for his painting.,"John was writing lyrics for his new album.He started experiencing writer's block.He tried to force himself to write but it wouldn't do anything.He took a walk, hung out with some friends, and looked at nature.",1
5,5,5,The cashier handed them the cash so they would go away.,The cashier invited the men to her high school reunion.,The cashier was counting the dollar bills at her desk.Two men rushed into the store and held their guns up.Everyone panicked and started to scream.The men threatened the people to remain quiet.,1
6,6,6,They called the police to come to my house.,They liked me a lot after that.,"The Mills next door had a new car.The car was stolen during the weekend.They came to my house and asked me if I knew anything.I told them I didn't, but for some reason they suspected me.",1
7,7,7,Kerry was disappointed.,Kerry was so grateful!,"There was an extremely obnoxious boy in Kerry's economics class.He monopolized every class discussion with his mediocre ideas.The professor could never get him to be quiet.One day, he showed up to class with laryngitis.",2
8,8,8,Franny ended up getting deported.,Franny learned to examine her prejudices.,"Franny did not particularly like all of the immigration happening.She thought immigrants were coming to cause social problems.Franny was upset when an immigrant moved in next door.The immigrant, Sal, was kind and became friends with Franny.",2
9,9,9,When he finished his paper he went to bed.,Luckily he had been saving everything on an external disk.,"Brandon was given a 10 page research paper to write for class.He begun working on the paper on his 2003 Dell laptop.Brandon stayed up until 1 in the morning to try and finish his paper.Suddenly, his computer crashed and died.",2
